field,query,expected,predicted
start_date,"Couple trip to Paris (2025-03-02–2025-03-09) with $1200 for 2 people, prefer villa, focusing on food, nightlife.",2025-03-02,2025-11-05
end_date,"Couple trip to Paris (2025-03-02–2025-03-09) with $1200 for 2 people, prefer villa, focusing on food, nightlife.",2025-03-09,2025-11-06
trip_duration,"Couple trip to Paris (2025-03-02–2025-03-09) with $1200 for 2 people, prefer villa, focusing on food, nightlife.",7,2
start_date,"Couple vacation to Paris (2025-03-02–2025-03-09) with $1200 for 2 people, prefer villa, focusing on food, nightlife.",2025-03-02,2025-11-05
end_date,"Couple vacation to Paris (2025-03-02–2025-03-09) with $1200 for 2 people, prefer villa, focusing on food, nightlife.",2025-03-09,2025-11-06
trip_duration,"Couple vacation to Paris (2025-03-02–2025-03-09) with $1200 for 2 people, prefer villa, focusing on food, nightlife.",7,2
start_date,"Looking for a 9-day solo getaway to London, around $800, staying at a hotel, mainly for nightlife.",2025-10-12,
end_date,"Looking for a 9-day solo getaway to London, around $800, staying at a hotel, mainly for nightlife.",2025-10-21,
trip_duration,"Looking for a 9-day solo getaway to London, around $800, staying at a hotel, mainly for nightlife.",9,
start_date,"Looking for a 9-day solo getaway to London, about $800, staying at a hotel, mainly for nightlife.",2025-10-12,
end_date,"Looking for a 9-day solo getaway to London, about $800, staying at a hotel, mainly for nightlife.",2025-10-21,
trip_duration,"Looking for a 9-day solo getaway to London, about $800, staying at a hotel, mainly for nightlife.",9,
start_date,"I want a 9-day solo holiday to London, around $800, staying at a hotel, mainly for nightlife.",2025-10-12,
end_date,"I want a 9-day solo holiday to London, around $800, staying at a hotel, mainly for nightlife.",2025-10-21,
trip_duration,"I want a 9-day solo holiday to London, around $800, staying at a hotel, mainly for nightlife.",9,
start_date,"Couple vacation to Cape Town (2025-01-25–2025-01-29) with $2000 for 2 people, prefer villa, focusing on hiking, nightlife.",2025-01-25,2025-11-05
end_date,"Couple vacation to Cape Town (2025-01-25–2025-01-29) with $2000 for 2 people, prefer villa, focusing on hiking, nightlife.",2025-01-29,2025-11-06
trip_duration,"Couple vacation to Cape Town (2025-01-25–2025-01-29) with $2000 for 2 people, prefer villa, focusing on hiking, nightlife.",4,2
start_date,"Couple trip to Cape Town (2025-01-25–2025-01-29) with $2000 for 2 people, prefer villa, focusing on hiking, nightlife.",2025-01-25,2025-11-05
end_date,"Couple trip to Cape Town (2025-01-25–2025-01-29) with $2000 for 2 people, prefer villa, focusing on hiking, nightlife.",2025-01-29,2025-11-06
trip_duration,"Couple trip to Cape Town (2025-01-25–2025-01-29) with $2000 for 2 people, prefer villa, focusing on hiking, nightlife.",4,2
start_date,"Couple trip to Cape Town (2025-01-25–2025-01-29) with $2000 for 2 people, prefer villa, focusing on hiking, nightlife.",2025-01-25,2025-11-05
end_date,"Couple trip to Cape Town (2025-01-25–2025-01-29) with $2000 for 2 people, prefer villa, focusing on hiking, nightlife.",2025-01-29,2025-11-06
trip_duration,"Couple trip to Cape Town (2025-01-25–2025-01-29) with $2000 for 2 people, prefer villa, focusing on hiking, nightlife.",4,2
start_date,"Looking for a 9-day solo getaway to Tokyo, around $800, staying at a villa, mainly for hiking.",2025-05-24,
end_date,"Looking for a 9-day solo getaway to Tokyo, around $800, staying at a villa, mainly for hiking.",2025-06-02,
trip_duration,"Looking for a 9-day solo getaway to Tokyo, around $800, staying at a villa, mainly for hiking.",9,
start_date,"Looking for a 9-day solo holiday to Tokyo, about $800, staying at a villa, mainly for hiking.",2025-05-24,
end_date,"Looking for a 9-day solo holiday to Tokyo, about $800, staying at a villa, mainly for hiking.",2025-06-02,
trip_duration,"Looking for a 9-day solo holiday to Tokyo, about $800, staying at a villa, mainly for hiking.",9,
start_date,"Looking for a 9-day solo getaway to Tokyo, around $800, booked in a villa, mainly for hiking.",2025-05-24,
end_date,"Looking for a 9-day solo getaway to Tokyo, around $800, booked in a villa, mainly for hiking.",2025-06-02,
trip_duration,"Looking for a 9-day solo getaway to Tokyo, around $800, booked in a villa, mainly for hiking.",9,
start_date,"Couple vacation to Dubai (2025-03-15–2025-03-18) with $5000 for 2 people, prefer hostel, focusing on adventure, hiking.",2025-03-15,2025-11-05
end_date,"Couple vacation to Dubai (2025-03-15–2025-03-18) with $5000 for 2 people, prefer hostel, focusing on adventure, hiking.",2025-03-18,2025-11-06
start_date,"Couple vacation to Dubai (2025-03-15–2025-03-18) with $5000 for 2 people, prefer hostel, focusing on adventure, hiking.",2025-03-15,2025-11-05
end_date,"Couple vacation to Dubai (2025-03-15–2025-03-18) with $5000 for 2 people, prefer hostel, focusing on adventure, hiking.",2025-03-18,2025-11-06
start_date,"Couple vacation to Dubai (2025-03-15–2025-03-18) with $5000 for 2 people, prefer hostel, focusing on adventure, hiking.",2025-03-15,2025-11-05
end_date,"Couple vacation to Dubai (2025-03-15–2025-03-18) with $5000 for 2 people, prefer hostel, focusing on adventure, hiking.",2025-03-18,2025-11-06
start_date,"Friends vacation to Tokyo (2025-09-07–2025-09-11) with $1500 for 6 people, prefer hostel, focusing on beaches, hiking.",2025-09-07,2025-11-05
end_date,"Friends vacation to Tokyo (2025-09-07–2025-09-11) with $1500 for 6 people, prefer hostel, focusing on beaches, hiking.",2025-09-11,2025-11-06
trip_duration,"Friends vacation to Tokyo (2025-09-07–2025-09-11) with $1500 for 6 people, prefer hostel, focusing on beaches, hiking.",4,2
start_date,"Friends vacation to Tokyo (2025-09-07–2025-09-11) with $1500 for 6 people, prefer hostel, focusing on beaches, hiking.",2025-09-07,2025-11-05
end_date,"Friends vacation to Tokyo (2025-09-07–2025-09-11) with $1500 for 6 people, prefer hostel, focusing on beaches, hiking.",2025-09-11,2025-11-06
trip_duration,"Friends vacation to Tokyo (2025-09-07–2025-09-11) with $1500 for 6 people, prefer hostel, focusing on beaches, hiking.",4,2
start_date,"Friends trip to Tokyo (2025-09-07–2025-09-11) with $1500 for 6 people, prefer hostel, focusing on beaches, hiking.",2025-09-07,2025-11-05
end_date,"Friends trip to Tokyo (2025-09-07–2025-09-11) with $1500 for 6 people, prefer hostel, focusing on beaches, hiking.",2025-09-11,2025-11-06
trip_duration,"Friends trip to Tokyo (2025-09-07–2025-09-11) with $1500 for 6 people, prefer hostel, focusing on beaches, hiking.",4,2
start_date,"Solo vacation to Cape Town (2025-06-23–2025-07-02) with $800 for 1 people, prefer Airbnb, focusing on photography, history, nightlife.",2025-06-23,2025-11-05
end_date,"Solo vacation to Cape Town (2025-06-23–2025-07-02) with $800 for 1 people, prefer Airbnb, focusing on photography, history, nightlife.",2025-07-02,2025-11-06
trip_duration,"Solo vacation to Cape Town (2025-06-23–2025-07-02) with $800 for 1 people, prefer Airbnb, focusing on photography, history, nightlife.",9,2
start_date,"Solo vacation to Cape Town (2025-06-23–2025-07-02) with $800 for 1 people, prefer Airbnb, focusing on photography, history, nightlife.",2025-06-23,2025-11-05
end_date,"Solo vacation to Cape Town (2025-06-23–2025-07-02) with $800 for 1 people, prefer Airbnb, focusing on photography, history, nightlife.",2025-07-02,2025-11-06
trip_duration,"Solo vacation to Cape Town (2025-06-23–2025-07-02) with $800 for 1 people, prefer Airbnb, focusing on photography, history, nightlife.",9,2
start_date,"Solo vacation to Cape Town (2025-06-23–2025-07-02) with $800 for 1 people, prefer Airbnb, focusing on photography, history, nightlife.",2025-06-23,2025-11-05
end_date,"Solo vacation to Cape Town (2025-06-23–2025-07-02) with $800 for 1 people, prefer Airbnb, focusing on photography, history, nightlife.",2025-07-02,2025-11-06
trip_duration,"Solo vacation to Cape Town (2025-06-23–2025-07-02) with $800 for 1 people, prefer Airbnb, focusing on photography, history, nightlife.",9,2
start_date,"Family vacation to Paris (2025-07-13–2025-07-16) with $1500 for 5 people, prefer hotel, focusing on history, hiking, culture.",2025-07-13,2025-11-05
end_date,"Family vacation to Paris (2025-07-13–2025-07-16) with $1500 for 5 people, prefer hotel, focusing on history, hiking, culture.",2025-07-16,2025-11-06
start_date,"Family vacation to Paris (2025-07-13–2025-07-16) with $1500 for 5 people, prefer hotel, focusing on history, hiking, culture.",2025-07-13,2025-11-05
end_date,"Family vacation to Paris (2025-07-13–2025-07-16) with $1500 for 5 people, prefer hotel, focusing on history, hiking, culture.",2025-07-16,2025-11-06
start_date,"Family vacation to Paris (2025-07-13–2025-07-16) with $1500 for 5 people, prefer hotel, focusing on history, hiking, culture.",2025-07-13,2025-11-05
end_date,"Family vacation to Paris (2025-07-13–2025-07-16) with $1500 for 5 people, prefer hotel, focusing on history, hiking, culture.",2025-07-16,2025-11-06
start_date,"Family vacation to Tokyo (2025-06-27–2025-07-02) with $1500 for 3 people, prefer villa, focusing on history, food.",2025-06-27,2025-11-05
end_date,"Family vacation to Tokyo (2025-06-27–2025-07-02) with $1500 for 3 people, prefer villa, focusing on history, food.",2025-07-02,2025-11-06
trip_duration,"Family vacation to Tokyo (2025-06-27–2025-07-02) with $1500 for 3 people, prefer villa, focusing on history, food.",5,2
start_date,"Family trip to Tokyo (2025-06-27–2025-07-02) with $1500 for 3 people, prefer villa, focusing on history, food.",2025-06-27,2025-11-05
end_date,"Family trip to Tokyo (2025-06-27–2025-07-02) with $1500 for 3 people, prefer villa, focusing on history, food.",2025-07-02,2025-11-06
trip_duration,"Family trip to Tokyo (2025-06-27–2025-07-02) with $1500 for 3 people, prefer villa, focusing on history, food.",5,2
start_date,"Family vacation to Tokyo (2025-06-27–2025-07-02) with $1500 for 3 people, prefer villa, focusing on history, food.",2025-06-27,2025-11-05
end_date,"Family vacation to Tokyo (2025-06-27–2025-07-02) with $1500 for 3 people, prefer villa, focusing on history, food.",2025-07-02,2025-11-06
trip_duration,"Family vacation to Tokyo (2025-06-27–2025-07-02) with $1500 for 3 people, prefer villa, focusing on history, food.",5,2
start_date,"Solo vacation to Rome (2025-01-22–2025-02-01) with $2000 for 1 people, prefer Airbnb, focusing on hiking.",2025-01-22,2025-11-05
end_date,"Solo vacation to Rome (2025-01-22–2025-02-01) with $2000 for 1 people, prefer Airbnb, focusing on hiking.",2025-02-01,2025-11-06
trip_duration,"Solo vacation to Rome (2025-01-22–2025-02-01) with $2000 for 1 people, prefer Airbnb, focusing on hiking.",10,2
start_date,"Solo trip to Rome (2025-01-22–2025-02-01) with $2000 for 1 people, prefer Airbnb, focusing on hiking.",2025-01-22,2025-11-05
end_date,"Solo trip to Rome (2025-01-22–2025-02-01) with $2000 for 1 people, prefer Airbnb, focusing on hiking.",2025-02-01,2025-11-06
trip_duration,"Solo trip to Rome (2025-01-22–2025-02-01) with $2000 for 1 people, prefer Airbnb, focusing on hiking.",10,2
start_date,"Solo vacation to Rome (2025-01-22–2025-02-01) with $2000 for 1 people, prefer Airbnb, focusing on hiking.",2025-01-22,2025-11-05
end_date,"Solo vacation to Rome (2025-01-22–2025-02-01) with $2000 for 1 people, prefer Airbnb, focusing on hiking.",2025-02-01,2025-11-06
trip_duration,"Solo vacation to Rome (2025-01-22–2025-02-01) with $2000 for 1 people, prefer Airbnb, focusing on hiking.",10,2
start_date,"Friends vacation to Bangkok (2025-02-12–2025-02-21) with $800 for 3 people, prefer villa, focusing on art, adventure, photography.",2025-02-12,2025-11-05
end_date,"Friends vacation to Bangkok (2025-02-12–2025-02-21) with $800 for 3 people, prefer villa, focusing on art, adventure, photography.",2025-02-21,2025-11-06
trip_duration,"Friends vacation to Bangkok (2025-02-12–2025-02-21) with $800 for 3 people, prefer villa, focusing on art, adventure, photography.",9,2
start_date,"Friends vacation to Bangkok (2025-02-12–2025-02-21) with $800 for 3 people, prefer villa, focusing on art, adventure, photography.",2025-02-12,2025-11-05
end_date,"Friends vacation to Bangkok (2025-02-12–2025-02-21) with $800 for 3 people, prefer villa, focusing on art, adventure, photography.",2025-02-21,2025-11-06
trip_duration,"Friends vacation to Bangkok (2025-02-12–2025-02-21) with $800 for 3 people, prefer villa, focusing on art, adventure, photography.",9,2
start_date,"Friends vacation to Bangkok (2025-02-12–2025-02-21) with $800 for 3 people, prefer villa, focusing on art, adventure, photography.",2025-02-12,2025-11-05
end_date,"Friends vacation to Bangkok (2025-02-12–2025-02-21) with $800 for 3 people, prefer villa, focusing on art, adventure, photography.",2025-02-21,2025-11-06
trip_duration,"Friends vacation to Bangkok (2025-02-12–2025-02-21) with $800 for 3 people, prefer villa, focusing on art, adventure, photography.",9,2
start_date,"Friends vacation to Bangkok (2025-10-06–2025-10-11) with $2500 for 3 people, prefer hotel, focusing on nightlife, photography.",2025-10-06,2025-11-05
end_date,"Friends vacation to Bangkok (2025-10-06–2025-10-11) with $2500 for 3 people, prefer hotel, focusing on nightlife, photography.",2025-10-11,2025-11-06
trip_duration,"Friends vacation to Bangkok (2025-10-06–2025-10-11) with $2500 for 3 people, prefer hotel, focusing on nightlife, photography.",5,2
start_date,"Friends vacation to Bangkok (2025-10-06–2025-10-11) with $2500 for 3 people, prefer hotel, focusing on nightlife, photography.",2025-10-06,2025-11-05
end_date,"Friends vacation to Bangkok (2025-10-06–2025-10-11) with $2500 for 3 people, prefer hotel, focusing on nightlife, photography.",2025-10-11,2025-11-06
trip_duration,"Friends vacation to Bangkok (2025-10-06–2025-10-11) with $2500 for 3 people, prefer hotel, focusing on nightlife, photography.",5,2
start_date,"Friends trip to Bangkok (2025-10-06–2025-10-11) with $2500 for 3 people, prefer hotel, focusing on nightlife, photography.",2025-10-06,2025-11-05
end_date,"Friends trip to Bangkok (2025-10-06–2025-10-11) with $2500 for 3 people, prefer hotel, focusing on nightlife, photography.",2025-10-11,2025-11-06
trip_duration,"Friends trip to Bangkok (2025-10-06–2025-10-11) with $2500 for 3 people, prefer hotel, focusing on nightlife, photography.",5,2
start_date,"Looking for a 7-day family getaway to Tokyo, around $1200, staying at a villa, mainly for food, nightlife, adventure.",2025-07-10,
end_date,"Looking for a 7-day family getaway to Tokyo, around $1200, staying at a villa, mainly for food, nightlife, adventure.",2025-07-17,
trip_duration,"Looking for a 7-day family getaway to Tokyo, around $1200, staying at a villa, mainly for food, nightlife, adventure.",7,
start_date,"Looking for a 7-day family holiday to Tokyo, about $1200, staying at a villa, mainly for food, nightlife, adventure.",2025-07-10,
end_date,"Looking for a 7-day family holiday to Tokyo, about $1200, staying at a villa, mainly for food, nightlife, adventure.",2025-07-17,
trip_duration,"Looking for a 7-day family holiday to Tokyo, about $1200, staying at a villa, mainly for food, nightlife, adventure.",7,
start_date,"Looking for a 7-day family getaway to Tokyo, around $1200, staying at a villa, mainly for food, nightlife, adventure.",2025-07-10,
end_date,"Looking for a 7-day family getaway to Tokyo, around $1200, staying at a villa, mainly for food, nightlife, adventure.",2025-07-17,
trip_duration,"Looking for a 7-day family getaway to Tokyo, around $1200, staying at a villa, mainly for food, nightlife, adventure.",7,
start_date,"Looking for a 9-day couple getaway to Cape Town, around $800, staying at a resort, mainly for shopping, beaches.",2025-04-30,
end_date,"Looking for a 9-day couple getaway to Cape Town, around $800, staying at a resort, mainly for shopping, beaches.",2025-05-09,
trip_duration,"Looking for a 9-day couple getaway to Cape Town, around $800, staying at a resort, mainly for shopping, beaches.",9,
start_date,"Looking for a 9-day couple holiday to Cape Town, about $800, booked in a resort, mainly for shopping, beaches.",2025-04-30,
end_date,"Looking for a 9-day couple holiday to Cape Town, about $800, booked in a resort, mainly for shopping, beaches.",2025-05-09,
trip_duration,"Looking for a 9-day couple holiday to Cape Town, about $800, booked in a resort, mainly for shopping, beaches.",9,
start_date,"I want a 9-day couple holiday to Cape Town, around $800, staying at a resort, mainly for shopping, beaches.",2025-04-30,
end_date,"I want a 9-day couple holiday to Cape Town, around $800, staying at a resort, mainly for shopping, beaches.",2025-05-09,
trip_duration,"I want a 9-day couple holiday to Cape Town, around $800, staying at a resort, mainly for shopping, beaches.",9,
start_date,"Looking for a 7-day solo getaway to Rome, around $5000, staying at a hostel, mainly for adventure.",2025-08-15,
end_date,"Looking for a 7-day solo getaway to Rome, around $5000, staying at a hostel, mainly for adventure.",2025-08-22,
trip_duration,"Looking for a 7-day solo getaway to Rome, around $5000, staying at a hostel, mainly for adventure.",7,
start_date,"I want a 7-day solo getaway to Rome, around $5000, booked in a hostel, mainly for adventure.",2025-08-15,
end_date,"I want a 7-day solo getaway to Rome, around $5000, booked in a hostel, mainly for adventure.",2025-08-22,
trip_duration,"I want a 7-day solo getaway to Rome, around $5000, booked in a hostel, mainly for adventure.",7,
start_date,"I want a 7-day solo holiday to Rome, around $5000, staying at a hostel, mainly for adventure.",2025-08-15,
end_date,"I want a 7-day solo holiday to Rome, around $5000, staying at a hostel, mainly for adventure.",2025-08-22,
trip_duration,"I want a 7-day solo holiday to Rome, around $5000, staying at a hostel, mainly for adventure.",7,
start_date,"Looking for a 7-day family getaway to New York, around $1500, staying at a villa, mainly for art, adventure, hiking.",2025-02-01,
end_date,"Looking for a 7-day family getaway to New York, around $1500, staying at a villa, mainly for art, adventure, hiking.",2025-02-08,
trip_duration,"Looking for a 7-day family getaway to New York, around $1500, staying at a villa, mainly for art, adventure, hiking.",7,
start_date,"I want a 7-day family holiday to New York, around $1500, staying at a villa, mainly for art, adventure, hiking.",2025-02-01,
end_date,"I want a 7-day family holiday to New York, around $1500, staying at a villa, mainly for art, adventure, hiking.",2025-02-08,
trip_duration,"I want a 7-day family holiday to New York, around $1500, staying at a villa, mainly for art, adventure, hiking.",7,
start_date,"Looking for a 7-day family getaway to New York, about $1500, staying at a villa, mainly for art, adventure, hiking.",2025-02-01,
end_date,"Looking for a 7-day family getaway to New York, about $1500, staying at a villa, mainly for art, adventure, hiking.",2025-02-08,
trip_duration,"Looking for a 7-day family getaway to New York, about $1500, staying at a villa, mainly for art, adventure, hiking.",7,
start_date,"Couple vacation to Bali (2025-06-10–2025-06-20) with $2000 for 2 people, prefer resort, focusing on beaches.",2025-06-10,2025-11-05
end_date,"Couple vacation to Bali (2025-06-10–2025-06-20) with $2000 for 2 people, prefer resort, focusing on beaches.",2025-06-20,2025-11-06
trip_duration,"Couple vacation to Bali (2025-06-10–2025-06-20) with $2000 for 2 people, prefer resort, focusing on beaches.",10,2
start_date,"Couple vacation to Bali (2025-06-10–2025-06-20) with $2000 for 2 people, prefer resort, focusing on beaches.",2025-06-10,2025-11-05
end_date,"Couple vacation to Bali (2025-06-10–2025-06-20) with $2000 for 2 people, prefer resort, focusing on beaches.",2025-06-20,2025-11-06
trip_duration,"Couple vacation to Bali (2025-06-10–2025-06-20) with $2000 for 2 people, prefer resort, focusing on beaches.",10,2
start_date,"Couple trip to Bali (2025-06-10–2025-06-20) with $2000 for 2 people, prefer resort, focusing on beaches.",2025-06-10,2025-11-05
end_date,"Couple trip to Bali (2025-06-10–2025-06-20) with $2000 for 2 people, prefer resort, focusing on beaches.",2025-06-20,2025-11-06
trip_duration,"Couple trip to Bali (2025-06-10–2025-06-20) with $2000 for 2 people, prefer resort, focusing on beaches.",10,2
start_date,"Looking for a 7-day solo getaway to Sydney, around $1500, staying at a villa, mainly for adventure.",2025-07-15,
end_date,"Looking for a 7-day solo getaway to Sydney, around $1500, staying at a villa, mainly for adventure.",2025-07-22,
trip_duration,"Looking for a 7-day solo getaway to Sydney, around $1500, staying at a villa, mainly for adventure.",7,
start_date,"Looking for a 7-day solo getaway to Sydney, about $1500, booked in a villa, mainly for adventure.",2025-07-15,
end_date,"Looking for a 7-day solo getaway to Sydney, about $1500, booked in a villa, mainly for adventure.",2025-07-22,
trip_duration,"Looking for a 7-day solo getaway to Sydney, about $1500, booked in a villa, mainly for adventure.",7,
start_date,"Looking for a 7-day solo getaway to Sydney, around $1500, staying at a villa, mainly for adventure.",2025-07-15,
end_date,"Looking for a 7-day solo getaway to Sydney, around $1500, staying at a villa, mainly for adventure.",2025-07-22,
trip_duration,"Looking for a 7-day solo getaway to Sydney, around $1500, staying at a villa, mainly for adventure.",7,
start_date,"Friends vacation to Tokyo (2025-02-18–2025-02-26) with $1500 for 5 people, prefer Airbnb, focusing on nightlife.",2025-02-18,2025-11-05
end_date,"Friends vacation to Tokyo (2025-02-18–2025-02-26) with $1500 for 5 people, prefer Airbnb, focusing on nightlife.",2025-02-26,2025-11-06
trip_duration,"Friends vacation to Tokyo (2025-02-18–2025-02-26) with $1500 for 5 people, prefer Airbnb, focusing on nightlife.",8,2
start_date,"Friends trip to Tokyo (2025-02-18–2025-02-26) with $1500 for 5 people, prefer Airbnb, focusing on nightlife.",2025-02-18,2025-11-05
end_date,"Friends trip to Tokyo (2025-02-18–2025-02-26) with $1500 for 5 people, prefer Airbnb, focusing on nightlife.",2025-02-26,2025-11-06
trip_duration,"Friends trip to Tokyo (2025-02-18–2025-02-26) with $1500 for 5 people, prefer Airbnb, focusing on nightlife.",8,2
start_date,"Friends vacation to Tokyo (2025-02-18–2025-02-26) with $1500 for 5 people, prefer Airbnb, focusing on nightlife.",2025-02-18,2025-11-05
end_date,"Friends vacation to Tokyo (2025-02-18–2025-02-26) with $1500 for 5 people, prefer Airbnb, focusing on nightlife.",2025-02-26,2025-11-06
trip_duration,"Friends vacation to Tokyo (2025-02-18–2025-02-26) with $1500 for 5 people, prefer Airbnb, focusing on nightlife.",8,2
start_date,"Friends vacation to Tokyo (2025-05-11–2025-05-16) with $3000 for 5 people, prefer hostel, focusing on relaxation.",2025-05-11,2025-11-05
end_date,"Friends vacation to Tokyo (2025-05-11–2025-05-16) with $3000 for 5 people, prefer hostel, focusing on relaxation.",2025-05-16,2025-11-06
trip_duration,"Friends vacation to Tokyo (2025-05-11–2025-05-16) with $3000 for 5 people, prefer hostel, focusing on relaxation.",5,2
start_date,"Friends trip to Tokyo (2025-05-11–2025-05-16) with $3000 for 5 people, prefer hostel, focusing on relaxation.",2025-05-11,2025-11-05
end_date,"Friends trip to Tokyo (2025-05-11–2025-05-16) with $3000 for 5 people, prefer hostel, focusing on relaxation.",2025-05-16,2025-11-06
trip_duration,"Friends trip to Tokyo (2025-05-11–2025-05-16) with $3000 for 5 people, prefer hostel, focusing on relaxation.",5,2
start_date,"Friends vacation to Tokyo (2025-05-11–2025-05-16) with $3000 for 5 people, prefer hostel, focusing on relaxation.",2025-05-11,2025-11-05
end_date,"Friends vacation to Tokyo (2025-05-11–2025-05-16) with $3000 for 5 people, prefer hostel, focusing on relaxation.",2025-05-16,2025-11-06
trip_duration,"Friends vacation to Tokyo (2025-05-11–2025-05-16) with $3000 for 5 people, prefer hostel, focusing on relaxation.",5,2
start_date,"Looking for a 10-day couple getaway to Paris, around $3000, staying at a hostel, mainly for shopping.",2025-06-23,
end_date,"Looking for a 10-day couple getaway to Paris, around $3000, staying at a hostel, mainly for shopping.",2025-07-03,
trip_duration,"Looking for a 10-day couple getaway to Paris, around $3000, staying at a hostel, mainly for shopping.",10,
start_date,"Looking for a 10-day couple holiday to Paris, about $3000, staying at a hostel, mainly for shopping.",2025-06-23,
end_date,"Looking for a 10-day couple holiday to Paris, about $3000, staying at a hostel, mainly for shopping.",2025-07-03,
trip_duration,"Looking for a 10-day couple holiday to Paris, about $3000, staying at a hostel, mainly for shopping.",10,
start_date,"Looking for a 10-day couple getaway to Paris, about $3000, booked in a hostel, mainly for shopping.",2025-06-23,
end_date,"Looking for a 10-day couple getaway to Paris, about $3000, booked in a hostel, mainly for shopping.",2025-07-03,
trip_duration,"Looking for a 10-day couple getaway to Paris, about $3000, booked in a hostel, mainly for shopping.",10,
start_date,"Looking for a 3-day couple getaway to Rome, around $1200, staying at a resort, mainly for beaches, history, hiking.",2025-04-30,
end_date,"Looking for a 3-day couple getaway to Rome, around $1200, staying at a resort, mainly for beaches, history, hiking.",2025-05-03,
trip_duration,"Looking for a 3-day couple getaway to Rome, around $1200, staying at a resort, mainly for beaches, history, hiking.",3,
start_date,"I want a 3-day couple getaway to Rome, around $1200, booked in a resort, mainly for beaches, history, hiking.",2025-04-30,
end_date,"I want a 3-day couple getaway to Rome, around $1200, booked in a resort, mainly for beaches, history, hiking.",2025-05-03,
trip_duration,"I want a 3-day couple getaway to Rome, around $1200, booked in a resort, mainly for beaches, history, hiking.",3,
start_date,"Looking for a 3-day couple getaway to Rome, around $1200, staying at a resort, mainly for beaches, history, hiking.",2025-04-30,
end_date,"Looking for a 3-day couple getaway to Rome, around $1200, staying at a resort, mainly for beaches, history, hiking.",2025-05-03,
trip_duration,"Looking for a 3-day couple getaway to Rome, around $1200, staying at a resort, mainly for beaches, history, hiking.",3,
start_date,"Family vacation to Paris (2025-01-26–2025-02-02) with $2500 for 3 people, prefer hotel, focusing on art, beaches.",2025-01-26,2025-11-05
end_date,"Family vacation to Paris (2025-01-26–2025-02-02) with $2500 for 3 people, prefer hotel, focusing on art, beaches.",2025-02-02,2025-11-06
trip_duration,"Family vacation to Paris (2025-01-26–2025-02-02) with $2500 for 3 people, prefer hotel, focusing on art, beaches.",7,2
start_date,"Family trip to Paris (2025-01-26–2025-02-02) with $2500 for 3 people, prefer hotel, focusing on art, beaches.",2025-01-26,2025-11-05
end_date,"Family trip to Paris (2025-01-26–2025-02-02) with $2500 for 3 people, prefer hotel, focusing on art, beaches.",2025-02-02,2025-11-06
trip_duration,"Family trip to Paris (2025-01-26–2025-02-02) with $2500 for 3 people, prefer hotel, focusing on art, beaches.",7,2
start_date,"Family trip to Paris (2025-01-26–2025-02-02) with $2500 for 3 people, prefer hotel, focusing on art, beaches.",2025-01-26,2025-11-05
end_date,"Family trip to Paris (2025-01-26–2025-02-02) with $2500 for 3 people, prefer hotel, focusing on art, beaches.",2025-02-02,2025-11-06
trip_duration,"Family trip to Paris (2025-01-26–2025-02-02) with $2500 for 3 people, prefer hotel, focusing on art, beaches.",7,2
group_size,"Plan a friends trip to London from 2025-03-23 to 2025-04-02 staying in a villa, budget $1200, interested in hiking, food, art.",6,3
group_size,"Plan a friends trip to London from 2025-03-23 to 2025-04-02 staying in a villa, budget $1200, interested in hiking, food, art.",6,3
group_size,"Help me plan a friends trip to London from 2025-03-23 to 2025-04-02 staying in a villa, cost $1200, interested in hiking, food, art.",6,3
start_date,"Couple vacation to Bangkok (2025-09-11–2025-09-21) with $800 for 2 people, prefer resort, focusing on nightlife.",2025-09-11,2025-11-05
end_date,"Couple vacation to Bangkok (2025-09-11–2025-09-21) with $800 for 2 people, prefer resort, focusing on nightlife.",2025-09-21,2025-11-06
trip_duration,"Couple vacation to Bangkok (2025-09-11–2025-09-21) with $800 for 2 people, prefer resort, focusing on nightlife.",10,2
start_date,"Couple vacation to Bangkok (2025-09-11–2025-09-21) with $800 for 2 people, prefer resort, focusing on nightlife.",2025-09-11,2025-11-05
end_date,"Couple vacation to Bangkok (2025-09-11–2025-09-21) with $800 for 2 people, prefer resort, focusing on nightlife.",2025-09-21,2025-11-06
trip_duration,"Couple vacation to Bangkok (2025-09-11–2025-09-21) with $800 for 2 people, prefer resort, focusing on nightlife.",10,2
start_date,"Couple trip to Bangkok (2025-09-11–2025-09-21) with $800 for 2 people, prefer resort, focusing on nightlife.",2025-09-11,2025-11-05
end_date,"Couple trip to Bangkok (2025-09-11–2025-09-21) with $800 for 2 people, prefer resort, focusing on nightlife.",2025-09-21,2025-11-06
trip_duration,"Couple trip to Bangkok (2025-09-11–2025-09-21) with $800 for 2 people, prefer resort, focusing on nightlife.",10,2
start_date,"Couple vacation to Rome (2025-06-21–2025-06-29) with $1500 for 2 people, prefer hostel, focusing on beaches, shopping, relaxation.",2025-06-21,2025-11-05
end_date,"Couple vacation to Rome (2025-06-21–2025-06-29) with $1500 for 2 people, prefer hostel, focusing on beaches, shopping, relaxation.",2025-06-29,2025-11-06
trip_duration,"Couple vacation to Rome (2025-06-21–2025-06-29) with $1500 for 2 people, prefer hostel, focusing on beaches, shopping, relaxation.",8,2
start_date,"Couple vacation to Rome (2025-06-21–2025-06-29) with $1500 for 2 people, prefer hostel, focusing on beaches, shopping, relaxation.",2025-06-21,2025-11-05
